,date,qid,pageviews,date_object,wave
689,2024-01-01,Q193744,533,2024-01-01,Third-wave
690,2024-01-02,Q193744,642,2024-01-02,Third-wave
691,2024-01-03,Q193744,496,2024-01-03,Third-wave
692,2024-01-04,Q193744,496,2024-01-04,Third-wave
693,2024-01-05,Q193744,554,2024-01-05,Third-wave
694,2024-01-06,Q193744,612,2024-01-06,Third-wave
695,2024-01-07,Q193744,591,2024-01-07,Third-wave
710,2024-01-01,Q435032,129,2024-01-01,
711,2024-01-02,Q435032,162,2024-01-02,
712,2024-01-03,Q435032,170,2024-01-03,
713,2024-01-04,Q435032,173,2024-01-04,
714,2024-01-05,Q435032,183,2024-01-05,
715,2024-01-06,Q435032,142,2024-01-06,
716,2024-01-07,Q435032,214,2024-01-07,
743,2024-01-01,Q242956,251,2024-01-01,Second-wave
744,2024-01-02,Q242956,217,2024-01-02,Second-wave
745,2024-01-03,Q242956,232,2024-01-03,Second-wave
746,2024-01-04,Q242956,192,2024-01-04,Second-wave
747,2024-01-05,Q242956,177,2024-01-05,Second-wave
748,2024-01-06,Q242956,200,2024-01-06,Second-wave
749,2024-01-07,Q242956,467,2024-01-07,Second-wave
750,2024-01-01,Q2940239,587,2024-01-01,Third-wave
751,2024-01-02,Q2940239,650,2024-01-02,Third-wave
752,2024-01-03,Q2940239,854,2024-01-03,Third-wave
753,2024-01-04,Q2940239,745,2024-01-04,Third-wave
754,2024-01-05,Q2940239,1600,2024-01-05,Third-wave
755,2024-01-06,Q2940239,1143,2024-01-06,Third-wave
756,2024-01-07,Q2940239,790,2024-01-07,Third-wave
757,2024-01-01,Q541912,849,2024-01-01,
758,2024-01-02,Q541912,1111,2024-01-02,
759,2024-01-03,Q541912,311,2024-01-03,
760,2024-01-04,Q541912,380,2024-01-04,
761,2024-01-05,Q541912,522,2024-01-05,
762,2024-01-06,Q541912,278,2024-01-06,
763,2024-01-07,Q541912,421,2024-01-07,
764,2024-01-01,Q219368,218,2024-01-01,Third-wave
765,2024-01-02,Q219368,318,2024-01-02,Third-wave
766,2024-01-03,Q219368,297,2024-01-03,Third-wave
767,2024-01-04,Q219368,343,2024-01-04,Third-wave
768,2024-01-05,Q219368,314,2024-01-05,Third-wave
769,2024-01-06,Q219368,228,2024-01-06,Third-wave
770,2024-01-07,Q219368,230,2024-01-07,Third-wave
777,2024-01-03,Q234519,135,2024-01-03,
778,2024-01-05,Q234519,96,2024-01-05,
785,2024-01-01,Q257243,643,2024-01-01,Third-wave
786,2024-01-02,Q257243,694,2024-01-02,Third-wave
787,2024-01-03,Q257243,607,2024-01-03,Third-wave
788,2024-01-04,Q257243,914,2024-01-04,Third-wave
789,2024-01-05,Q257243,651,2024-01-05,Third-wave
790,2024-01-06,Q257243,567,2024-01-06,Third-wave
791,2024-01-07,Q257243,662,2024-01-07,Third-wave
792,2024-01-01,Q6294,2407,2024-01-01,
793,2024-01-02,Q6294,2704,2024-01-02,
794,2024-01-03,Q6294,2577,2024-01-03,
795,2024-01-04,Q6294,4882,2024-01-04,
796,2024-01-05,Q6294,4076,2024-01-05,
797,2024-01-06,Q6294,3377,2024-01-06,
798,2024-01-07,Q6294,3026,2024-01-07,
799,2024-01-01,Q8446,4321,2024-01-01,
800,2024-01-02,Q8446,4170,2024-01-02,
801,2024-01-03,Q8446,3765,2024-01-03,
802,2024-01-04,Q8446,4222,2024-01-04,
803,2024-01-05,Q8446,4322,2024-01-05,
804,2024-01-06,Q8446,4325,2024-01-06,
805,2024-01-07,Q8446,4153,2024-01-07,
815,2024-01-01,Q6502596,1033,2024-01-01,
816,2024-01-02,Q6502596,1326,2024-01-02,
817,2024-01-03,Q6502596,1255,2024-01-03,
818,2024-01-04,Q6502596,1010,2024-01-04,
819,2024-01-05,Q6502596,1012,2024-01-05,
820,2024-01-06,Q6502596,1176,2024-01-06,
821,2024-01-07,Q6502596,1217,2024-01-07,
822,2024-01-01,Q160456,925,2024-01-01,Second-wave
823,2024-01-02,Q160456,895,2024-01-02,Second-wave
824,2024-01-03,Q160456,1035,2024-01-03,Second-wave
825,2024-01-04,Q160456,1052,2024-01-04,Second-wave
826,2024-01-05,Q160456,934,2024-01-05,Second-wave
827,2024-01-06,Q160456,855,2024-01-06,Second-wave
828,2024-01-07,Q160456,928,2024-01-07,Second-wave
829,2024-01-01,Q280098,2029,2024-01-01,
830,2024-01-02,Q280098,1733,2024-01-02,
831,2024-01-03,Q280098,1736,2024-01-03,
832,2024-01-04,Q280098,1467,2024-01-04,
833,2024-01-05,Q280098,1539,2024-01-05,
834,2024-01-06,Q280098,1741,2024-01-06,
835,2024-01-07,Q280098,2016,2024-01-07,
836,2024-01-01,Q110462,404,2024-01-01,
837,2024-01-02,Q110462,488,2024-01-02,
838,2024-01-03,Q110462,379,2024-01-03,
839,2024-01-04,Q110462,320,2024-01-04,
840,2024-01-05,Q110462,354,2024-01-05,
841,2024-01-06,Q110462,453,2024-01-06,
842,2024-01-07,Q110462,515,2024-01-07,
844,2024-01-01,Q232462,227,2024-01-01,Third-wave
845,2024-01-02,Q232462,300,2024-01-02,Third-wave
846,2024-01-03,Q232462,275,2024-01-03,Third-wave
847,2024-01-04,Q232462,253,2024-01-04,Third-wave
848,2024-01-05,Q232462,276,2024-01-05,Third-wave
849,2024-01-06,Q232462,473,2024-01-06,Third-wave
850,2024-01-07,Q232462,844,2024-01-07,Third-wave
853,2024-01-01,Q241398,289,2024-01-01,
854,2024-01-02,Q241398,176,2024-01-02,
855,2024-01-03,Q241398,228,2024-01-03,
856,2024-01-04,Q241398,223,2024-01-04,
857,2024-01-05,Q241398,197,2024-01-05,
858,2024-01-06,Q241398,143,2024-01-06,
859,2024-01-07,Q241398,163,2024-01-07,
863,2024-01-02,Q283659,104,2024-01-02,
864,2024-01-05,Q283659,97,2024-01-05,
865,2024-01-07,Q283659,103,2024-01-07,
870,2024-01-01,Q57915865,175,2024-01-01,
871,2024-01-02,Q57915865,263,2024-01-02,
872,2024-01-03,Q57915865,230,2024-01-03,
873,2024-01-04,Q57915865,254,2024-01-04,
874,2024-01-05,Q57915865,191,2024-01-05,
875,2024-01-06,Q57915865,179,2024-01-06,
876,2024-01-07,Q57915865,202,2024-01-07,
897,2024-01-01,Q443207,176,2024-01-01,Third-wave
898,2024-01-02,Q443207,145,2024-01-02,Third-wave
899,2024-01-03,Q443207,159,2024-01-03,Third-wave
900,2024-01-04,Q443207,211,2024-01-04,Third-wave
901,2024-01-05,Q443207,190,2024-01-05,Third-wave
902,2024-01-06,Q443207,194,2024-01-06,Third-wave
903,2024-01-07,Q443207,128,2024-01-07,Third-wave
904,2024-01-01,Q630446,704,2024-01-01,
905,2024-01-02,Q630446,888,2024-01-02,
906,2024-01-03,Q630446,1379,2024-01-03,
907,2024-01-04,Q630446,4832,2024-01-04,
908,2024-01-05,Q630446,2089,2024-01-05,
909,2024-01-06,Q630446,1684,2024-01-06,
910,2024-01-07,Q630446,1485,2024-01-07,
918,2024-01-01,Q458978,167,2024-01-01,Third-wave
